Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 1,Contact Information,,Part 1,Contact Information,Part 1,Contact Information,Part A,Contact Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSHANAM,Name of state/territorial public health agency,,CSHANAM,Name of state/territorial public health agency,CSHANAM,Name of state/territorial public health agency,AC1,Name of state/territorial public health agency,The identifier data are not available to the public as they are deemed confidential,,,The identifier data are not available to the public as they are deemed confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 2,Activities,,Part 2,Activities,Part 2,Activities,Part B,Activities,,Section One,Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMMVAD01,Immunizations - Vaccine order management and inventory distribution - Adult immunizations - Performed by state agency directly or via contract,,AIMMVAD01,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by state agency directly,AIMMVAD01,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by state agency directly,B01A1_2010,Immunizations —vaccine order management and inventory distribution - Adult immunizations - Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q1A1,Immunizations —vaccine order management and inventory distribution - Adult immunizations - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AIMMVAD02,Immunizations —vaccine order management and inventory distribution - Adult immunization - Contracted out by state/territorial public health agency,AIMMVAD02,Immunizations —vaccine order management and inventory distribution - Adult immunization - Contracted out by state/territorial public health agency,,,added questions in 2012,Q1A2,Immunizations —vaccine order management and inventory distribution - Adult immunizations - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B01A2_2010,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q1A4,Immunizations —vaccine order management and inventory distribution - Adult immunization -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B01A3_2010,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by local health departments led by a local employee,deleted in 2012,Q1A5,Immunizations —vaccine order management and inventory distribution - Adult immunizations - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B01A4_2010,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by a not-for-profit entity,deleted in 2012,Q1A6,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B01A5_2010,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by a for-profit entity,deleted in 2012,Q1A7,Immunizations —vaccine order management and inventory distribution - Adult immunizations -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B01A6_2010,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by another state/territorial agency,deleted in 2012,Q1A3,Immunizations —vaccine order management and inventory distribution - Adult immunization - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q1A8,Immunizations —vaccine order management and inventory distribution - Adult immunizations -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
