Code 2019 Only,Questions in 2019
Part 1,Contact Information
CSHANAM,Name of state/territorial public health agency
Part 2,Activities
AIMMVAD01,Immunizations - Vaccine order management and inventory distribution - Adult immunizations - Performed by state agency directly or via contract
,
,
,
,
,
,
,
AIMMVCH01,Immunizations - Vaccine order management and inventory distribution - Child immunizations - Performed by state agency directly or via contract
,
,
,
,
,
,
,
AIMMVIN01,Immunizations - Vaccine order management and inventory distribution - International travel immunizations - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
AIMMAAD01,Immunizations - Administration of vaccine to population - Adult immunizations - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
AIMMACH01,Immunizations - Administration of vaccine to population - Child immunizations - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
AIMMAIN01,Immunizations - Administration of vaccine to population - International travel immunizations - Performed by the state/territorial health agency directly or via contract
,
AIMMCLAR,"Immunizations - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
ASCRAST01,Specific diseases or conditions - Asthma screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRBLL01,Specific diseases or conditions - Blood Lead screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
ASCRBMI01,Specific diseases or conditions - Body Mass Index (BMI) screening - Performed by state/territorial health agency directly or via contract
,
ASCRBCC01,Specific diseases or conditions - Breast and Cervical Cancer screening -Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRCRC01,Specific diseases or conditions - Colon/Rectum Cancer screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCROTC01,Specific diseases or conditions - Other Cancers screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRCVD01,Specific diseases or conditions - Cardiovascular Disease screening -Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRDIA01,Specific diseases or conditions - Diabetes screening - Performed by state/territorial health agency directly or via contract
,
ASCRHAN01,Specific diseases or conditions  - Hansen's disease screening - Performed by territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRHBP01,Specific diseases or conditions - High blood pressure screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRHIV01,Specific diseases or conditions - HIV/AIDS screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRSTD01,Specific diseases or conditions -Other STDs screening-Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ASCRNEW01,"Maternal, child, and adolescent health services - Newborn screening -Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
ASCRPDI01,Specific diseases or conditions - Prediabetes screening - Performed by state/territorial health agency directly or via contract
,
ASCRTUB01,Specific diseases or conditions - Tuberculosis screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ALABBIO01,State/Territory laboratory services - Likely bioterrorism agents testing (e.g. anthrax) - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ALABBLL01,State/Territory laboratory services - Environmental Lead screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ALABCHO01,State/Territory laboratory services - Cholesterol screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ALABFDB01,State/Territory laboratory services - Food Borne Illness testing -  Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ALABFLU01,State/Territory laboratory services -Influenza Typing - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ALABNEW01,State/Territory laboratory services - Newborn screening - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
ALABBMN01,State/Territory laboratory services -Biomonitoring - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
,
,
ALABVBI01,State/Territory laboratory services -Vector-borne illness testing - Performed by state/territorial health agency directly or via contract
,
ALABOPI01,State/Territory laboratory services - Opioid-related lab services - Performed by state/territorial health agency directly or via contract
ALABOTH01,State/Territory laboratory services - Other Screening (specify) - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
,
ALABOTH01A,State/Territory laboratory services - Other Screening (specifed) - Performed by state/territorial health agency directly or via contract
ALABCLAR,"State/Territory laboratory services - Use this space to provide any additional clarifications, if necessary."
AREGBIR01,Registry maintenance - Birth Defects - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
AREGCAN01,Registry maintenance - Cancer - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
