"location","ages_0_4","cap_lic_ctrs_homes_per_cap","licensed_home_per_cap","licensed_center_per_cap","registered_ministry_per_cap","pct_white","pct_black","pct_hispanic","pct_asian","pct_am_indian","child_care_vouchers_per_cap","first_steps_per_cap","early_head_start_per_cap","head_start_per_cap","child_care_slots_0_5_per_cap","waiting_list_per_cap","wic_breastfeeding_per_lb","wic_child_per_cap","wic_total_part_per_tot"
"Marion",69374,0.364401649032779,0.00654423847550956,0.00207570559575634,0.00285409519416496,0.431568372029663,0.351872663959201,0.175823520897721,0.0384664504099512,0.00226899270346436,0.206518292155563,0.0531034681580996,0.00175858390751578,0.0273589529218439,0.0000043243866578257,0.0298382679389973,0.505058963087014,0.348228442932511,0.273411492256477
"Lake",29631,0.290067834362661,0.00921332388377038,0.00195740946981202,0.00111369849144477,0.444874089779462,0.28433638622895,0.252411324099338,0.0157626735718879,0.00261552632036287,0.16550234551652,0.0520063447065573,0.00256488137423644,0.0413080895008606,0.0000080996253923256,0.0245351152509196,0.309090909090909,0.299551145759509,0.194826297770286
"Allen",26371,0.214667627317887,0.00697736149558227,0.00109969284441242,0.00178226081680634,0.65979381443299,0.167354643323861,0.115279304694144,0.0548445311041507,0.0027277064448547,0.131015130256721,0.0554017670926396,0.00189602214553866,0.0264305487088089,0.00000644647529483144,0.0177467672822419,0.386730769230769,0.316028971218384,0.215312493517808
"Hamilton",21593,0.377205575881073,0.00282498957995647,0.00194507479275691,0.000740980873431205,0.818593004500491,0.0540397261355561,0.0537239022299424,0.0719852916295386,0.00165807550447229,0.0385773167230121,0.06571574121243,0.000926226091789006,0.00615940351039689,0.0000138933913768351,0.00717825221136479,0.134808335477232,0.0880841013291344,0.0523139740798809
"St. Joseph",17423,0.270447110141767,0.00815014635826207,0.00160707111289675,0.00149228031911841,0.620367190183283,0.204343210416211,0.145174384113404,0.0262278702344897,0.00388734505261186,0.17344888939907,0.0442518510015497,0.00195144349423176,0.0292716524134764,0.0000126269873156173,0.0256557424094588,0.44549356223176,0.320094128450898,0.228963062416086
"Elkhart",15522,0.116222136322639,0.00173946656358717,0.00122406906326504,0.00128849375080531,0.656822344322344,0.0889158918005072,0.239873908143139,0.0119928148774303,0.00239504085657932,0.0599793840999871,0.0299574797062234,0.00296353562685221,0.0328565906455354,0.00000579822187862389,0.0124339646952712,0.365459249676585,0.296933384873083,0.203772189349112
"Tippecanoe",11585,0.264134656883902,0.00664652567975831,0.00164005179110919,0.00146741476046612,0.68894014993857,0.0954542035453702,0.150765990522278,0.062407542060527,0.00243211393325477,0.10617177384549,0.0478204574881312,0.00750971083297367,0.0204574881312041,0.000018990073370738,0.0203711696158826,0.413839285714286,0.311696158826068,0.223955068575584
"Vanderburgh",10786,0.442610791767105,0.0104765436677174,0.00305952160207677,0.00157611718894864,0.769828728718524,0.159521867672546,0.0484758894892446,0.0198542155163625,0.00231929860332348,0.17151863526794,0.0599851659558687,0.00852957537548674,0.0366215464491007,0.0000333765992953829,0.0309660671240497,0.159379407616361,0.186816243278324,0.138011010296666
"Johnson",10030,0.2678963110668,0.00249252243270189,0.00169491525423729,0.00069790628115653,0.870046010666109,0.0354229844191153,0.0553696538743072,0.0370438147024992,0.00211753633796926,0.053938185443669,0.0588235294117647,0,0.0125623130608175,0.0000219341974077767,0.00997008973080758,0.335529928610654,0.237487537387836,0.153220746627627
"Hendricks",9751,0.355348169418521,0.00543533996513178,0.00194851810070762,0.00123064301097323,0.825206085221947,0.0863515104905189,0.0534259415030402,0.0332380013939292,0.00177846139056454,0.0548661675725567,0.0622500256383961,0,0.00769151881858271,0.0000297405394318531,0.0109732335145113,0.211716937354988,0.126140908624756,0.0799586627893004
